busstop_id,busstop
s1,EAST FORT
s2,OVER BRIDGE
s3,AYURVEDHA COLLEGE
s4,STATUE
s5,PALAYAM
s6,PALAYAM KERALA UNIVERSITY
s7,GENERAL HOSPITAL
s8,PATTOOR
s9,PALLIMUKKU
s10,PETTAH JN
s11,KALLUMOODU
s12,KALLUMOODU PALAM
s13,KUDAVOOR
s14,MULLOOR
s15,ANAYARA
s16,LORDS JN
s17,ULAMKUZHI
s18,KIZHAKATHIL
s19,KIMS ROAD
s20,VENPALAVTTAM JUNCTION
s21,VENPALAVTTAM TEMPLE
s22,WORLD MARKET
s23,VAZHAVILA
s24,KARIKAKAM PALAM
s25,CHAMUNDI NAGR
s26,KARIKAKAM VAYANASALA
s27,OVER BRIDEGE
s28,AYURVEDIC COLLEGE
s29,SAFALIYAM
s30,LMS
s31,PMG
s32,PLAMOODU
s33,PATTAM
s34,LIC
s35,ST MARY'S  SCHOOL
s36,KESAVADASAPURAM
s37,PARUTHIPARA
s38,PANEN VILA
s39,MAIN GATE
s40,KURISHADI
s41,STEP JUNCTION
s42,KOTTAMUGAL
s43,KOVIL NAGER
s44,MANNANTHALA
s45,PERIYAN KODE
s46,ARUVIYODE
s47,MARUDHOOR
s48,THAZA CHITTAZA
s49,CHITTAZA
s50,MUKKAMPLAMOODU
s51,AMBALAM NAGER
s52,PALLIVILA
s53,VATTAPARA
s54,VATTAPARA 1
s55,SHEEMALA MUKK
s56,PUMB HOUSE
s57,CHENDI POORI
s58,CHIRAKIYANI
s59,THOTTU MUKKU
s60,PARAYIL KADA
s61,TOWER JUNCTION
s62,MANGODE
s63,POOVATHOOR
s64,PATTALAM JUNCTION
s65,BP NAGAR
s66,AMBALA NAGAR
s67,MG NAGAR
s68,SOCIETY NADA
s69,IRINJIYAM PADIKKUT
s70,IRINJIYAM
s71,AISWARYA MUKK
s72,KAIRALI NAGAR
s73,LIC PATTAM
s74,KESAVADHASAPURAM
s75,PANAN VILA
s76,NALANCHIRA COLLEGE JN
