id,busstop_id,route_id,distance,latitude,longitude
1,s1,0101-32,0.00,8.48322,76.94740
2,s3,0101-32,0.86,8.49097,76.94709
3,s4,0101-32,0.66,8.49684,76.94828
4,s5,0101-32,0.77,8.50253,76.94937
5,s7,0101-32,1.06,8.49920,76.94296
6,s8,0101-32,0.79,8.49750,76.93707
7,s9,0101-32,0.41,8.49681,76.93342
8,s10,0101-32,0.54,8.49512,76.92903
9,s11,0101-32,0.46,8.49773,76.92582
10,s12,0101-32,0.22,8.49901,76.92423
11,s13,0101-32,0.38,8.50117,76.92152
12,s14,0101-32,0.38,8.50332,76.91882
13,s15,0101-32,0.37,8.50541,76.91621
14,s16,0101-32,0.31,8.50718,76.91405
15,s17,0101-32,0.14,8.50834,76.91347
16,s18,0101-32,0.43,8.50924,76.90984
17,s19,0101-32,0.17,8.51060,76.90911
18,s20,0101-32,0.21,8.51153,76.90747
19,s21,0101-32,0.17,8.51126,76.90607
20,s22,0101-32,0.26,8.50997,76.90415
21,s23,0101-32,0.33,8.50838,76.90248
22,s24,0101-32,0.43,8.50735,76.90585
23,s25,0101-32,0.41,8.50481,76.90862
24,s26,0101-32,0.86,8.49901,76.91376
25,s1,0101-27,0.00,8.48358,76.94739
26,s28,0101-27,0.80,8.49073,76.94709
27,s4,0101-27,0.70,8.49694,76.94828
28,s5,0101-27,0.91,8.50456,76.95110
29,s31,0101-27,0.83,8.50887,76.94935
30,s32,0101-27,0.79,8.51455,76.94549
31,s33,0101-27,0.59,8.51879,76.94220
32,s34,0101-27,0.50,8.52291,76.94057
33,s767,0101-27,0.44,8.52654,76.93894
34,s36,0101-27,0.42,8.53019,76.93868
35,s37,0101-27,0.78,8.53580,76.94227
36,s38,0101-27,0.21,8.53758,76.94165
37,s39,0101-27,0.54,8.54226,76.94154
38,s40,0101-27,0.70,8.54628,76.94466
39,s350,0101-27,0.48,8.54981,76.94241
40,s42,0101-27,0.40,8.55303,76.94302
41,s43,0101-27,0.33,8.55585,76.94347
42,s351,0101-27,0.57,8.56099,76.94328
43,s45,0101-27,0.76,8.56769,76.94406
44,s46,0101-27,0.50,8.57109,76.94587
45,s47,0101-27,0.29,8.57294,76.94422
46,s48,0101-27,0.50,8.57693,76.94323
47,s49,0101-27,0.57,8.58074,76.94569
48,s50,0101-27,0.67,8.58497,76.94700
49,s51,0101-27,0.38,8.58483,76.94958
50,s52,0101-27,0.29,8.58743,76.94997
51,s53,0101-27,0.79,8.59253,76.95287
52,s54,0101-27,0.53,8.59511,76.95631
53,s55,0101-27,0.42,8.59527,76.95937
54,s56,0101-27,0.54,8.59817,76.96215
55,s57,0101-27,0.11,8.59859,76.96290
56,s58,0101-27,0.61,8.60264,76.96469
57,s352,0101-27,0.30,8.60513,76.96487
58,s60,0101-27,0.20,8.60588,76.96637
59,s61,0101-27,0.27,8.60660,76.96854
60,s353,0101-27,0.33,8.60939,76.96888
61,s63,0101-27,0.61,8.61438,76.96902
62,s64,0101-27,0.24,8.61604,76.96788
63,s65,0101-27,0.31,8.61846,76.96646
64,s66,0101-27,0.34,8.62115,76.96651
65,s9,0101-27,0.28,8.62354,76.96732
66,s67,0101-27,0.17,8.62456,76.96619
67,s68,0101-27,0.23,8.62651,76.96622
68,s69,0101-27,0.52,8.62431,76.96892
69,s70,0101-27,0.19,8.62416,76.97035
70,s71,0101-27,0.44,8.62781,76.97129
71,s72,0101-27,0.49,8.63084,76.96891
72,s1,0101-34,0.00,8.48368,76.94748
73,s3,0101-34,0.83,8.49113,76.94706
74,s4,0101-34,0.64,8.49683,76.94827
75,s5,0101-34,0.94,8.50471,76.95113
76,s31,0101-34,0.75,8.50848,76.94977
77,s32,0101-34,0.79,8.51411,76.94585
78,s33,0101-34,0.77,8.51971,76.94184
79,s73,0101-34,0.40,8.52303,76.94053
80,s74,0101-34,0.86,8.53031,76.93871
81,s37,0101-34,0.69,8.53514,76.94239
82,s75,0101-34,0.26,8.53731,76.94169
83,s76,0101-34,0.60,8.54248,76.94166
84,s77,0101-34,0.67,8.54624,76.94471
85,s78,0101-34,0.34,8.54859,76.94297
86,s42,0101-34,0.50,8.55262,76.94277
87,s79,0101-34,0.45,8.55643,76.94352
88,s80,0101-34,0.51,8.56104,76.94331
89,s81,0101-34,0.74,8.56756,76.94411
90,s82,0101-34,0.46,8.57075,76.94609
91,s83,0101-34,0.22,8.57210,76.94492
